id,ZIV20_pocet,ZIV20_1,ZIV20_2,ZIV20_3,ZIV20_4,ZIV20_5,ZIV20_6,ZIV20_7,ZIV20_8,ZIV20_9,ZIV20_10,ZIV20_11,ZIV20_12,ZIV20_13,ZIV20_14,ZIV20_15,ZIV20_16
646,8,1,1,2,2,3,3,1,2,1,3,3,3,1,2,4,5
647,11,7,5,2,2,5,5,3,4,2,3,3,2,2,1,1,1
648,13,7,6,3,3,10,7,2,1,3,4,5,3,0,3,1,2
649,8,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2
650,25,4,5,6,4,5,4,8,6,5,5,3,4,9,12,10,6
651,33,9,5,8,9,8,5,9,5,10,10,6,2,12,9,5,3
652,25,7,5,5,7,5,5,5,3,8,3,4,2,7,4,6,3
653,17,7,5,3,4,4,1,2,5,2,3,3,4,3,3,5,4
654,3,2,1,1,0,1,1,2,2,0,0,0,2,0,1,1,1
655,8,0,1,2,2,0,0,1,1,2,1,1,1,3,3,2,1
656,9,1,2,2,1,3,4,2,1,2,2,2,2,2,3,4,4
657,6,1,1,1,1,1,1,1,0,1,0,1,1,4,0,1,1
658,6,1,3,2,3,1,2,2,1,1,1,3,3,1,2,4,3
659,8,0,1,2,2,0,0,2,1,0,0,1,1,0,0,3,2
660,7,2,1,1,2,2,2,1,2,3,2,2,1,2,1,0,1
661,8,3,4,0,0,2,6,0,0,3,4,1,0,5,2,0,0
662,11,0,1,1,1,1,2,1,0,2,1,0,1,2,1,2,7
663,5,1,2,1,1,0,1,1,2,1,2,1,1,2,2,2,2
664,10,1,1,1,1,1,1,1,1,1,0,0,0,5,5,3,4
665,15,3,2,3,4,1,3,5,4,5,5,3,5,4,5,5,4
666,7,1,1,1,1,1,1,2,2,2,2,2,1,1,3,3,1
667,7,1,0,1,0,2,2,2,2,1,2,2,1,1,1,2,2
668,5,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2
669,4,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
670,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
671,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
672,3,1,2,1,2,0,1,1,1,0,1,1,0,0,1,0,0
673,22,6,7,7,1,3,4,7,5,5,5,4,5,2,3,8,6
674,35,4,7,4,9,8,13,9,10,12,15,8,6,4,13,8,5
675,26,7,4,6,4,3,5,6,4,2,5,3,5,6,6,6,4
676,12,6,6,1,2,4,3,1,1,2,3,3,1,1,1,3,1
677,10,6,4,3,2,4,2,2,2,2,1,1,2,2,1,1,2
678,12,4,3,4,3,3,1,2,3,3,1,2,2,3,2,2,2
679,9,1,2,3,5,5,5,4,3,2,1,0,1,1,1,0,1
680,11,3,3,1,1,1,1,0,3,1,1,2,6,2,5,4,5
681,3,1,1,1,0,1,1,1,0,1,2,1,1,0,2,1,1
682,8,1,1,1,1,2,2,2,2,2,2,3,3,1,1,1,4
683,13,2,4,4,3,2,4,5,3,2,1,3,2,2,2,2,2
684,7,1,2,2,1,2,3,3,3,0,1,1,2,0,3,2,2
685,10,2,3,3,3,2,3,2,2,2,3,3,1,1,0,0,1
686,16,3,4,4,4,7,2,3,4,1,2,1,1,1,2,0,1
687,13,2,1,2,6,6,0,0,6,6,3,2,2,3,3,2,2
688,8,0,1,1,3,6,7,6,5,1,1,1,0,0,0,1,1
689,11,4,3,4,2,3,2,3,2,0,1,3,2,1,1,1,2
690,4,0,0,0,1,1,1,1,2,2,1,0,1,3,1,0,0
691,14,5,6,4,4,5,1,5,8,7,7,7,3,2,2,2,1
692,14,2,3,3,3,1,2,1,2,3,3,2,4,2,6,7,7
693,11,2,3,3,2,2,3,5,3,5,7,9,4,3,2,2,0
694,10,2,4,3,2,6,5,3,2,6,3,2,1,2,2,2,2
695,9,1,1,2,2,1,0,1,1,3,2,3,4,2,2,3,5
696,6,1,1,0,0,1,1,1,1,0,1,2,1,1,2,2,3
697,6,2,3,3,2,2,0,0,1,2,1,1,0,1,1,1,0
698,21,6,10,5,7,5,7,3,4,5,2,2,3,4,2,2,6
699,25,4,5,5,3,5,6,8,13,2,7,13,13,5,7,7,3
700,33,9,10,6,2,6,5,6,7,12,4,6,9,9,3,7,8
701,26,1,6,11,12,5,4,6,6,6,3,4,2,8,3,4,4
702,32,12,10,10,11,9,13,14,7,2,2,3,2,2,4,3,3
703,31,10,4,4,6,14,5,5,4,11,8,7,7,6,7,10,8
704,17,1,2,2,1,3,2,2,2,8,6,3,2,8,10,8,9
705,12,2,3,2,1,2,2,2,2,1,2,2,2,6,2,2,2
706,5,0,1,2,2,0,2,2,1,0,2,1,1,3,3,1,0
707,14,2,1,1,1,3,1,2,2,3,2,3,4,1,3,3,5
708,24,2,5,6,6,4,4,1,2,6,6,3,1,5,4,4,3
709,4,1,1,1,2,2,0,1,1,2,1,1,1,1,0,2,1
710,6,2,2,3,4,0,0,1,3,1,1,1,2,1,2,2,2
711,9,2,3,3,3,3,1,1,2,1,1,2,2,2,2,2,1
712,8,2,4,3,3,2,2,2,2,1,1,1,1,1,0,1,0
713,13,2,2,1,2,3,4,2,0,2,1,1,1,3,2,4,2
714,8,1,1,2,3,1,1,2,1,1,1,1,1,3,2,1,1
715,13,3,0,0,0,1,1,0,1,1,2,2,2,1,2,1,1
716,12,7,7,3,1,8,1,1,0,1,0,1,2,1,0,0,1
717,10,1,1,0,1,1,1,1,1,2,1,2,2,3,1,4,3
718,10,4,0,1,1,4,1,2,2,5,4,2,3,2,4,4,4
719,16,3,3,2,6,3,4,5,5,5,7,4,1,6,6,0,2
